id,CS111_grade,CS111_points,CS111_termWork,CS111_examWork,CS111_result,CS112_grade,CS112_points,CS112_termWork,CS112_examWork,CS112_result,CS213_grade,CS213_points,CS213_termWork,CS213_examWork,CS213_result,CS214_grade,CS214_points,CS214_termWork,CS214_examWork,CS214_result,CS251_grade,CS251_points,CS251_termWork,CS251_examWork,CS251_result,DS211_grade,DS211_points,DS211_termWork,DS211_examWork,DS211_result,DS251_grade,DS251_points,DS251_termWork,DS251_examWork,DS251_result,HU111_grade,HU111_points,HU111_termWork,HU111_examWork,HU111_result,HU112_grade,HU112_points,HU112_termWork,HU112_examWork,HU112_result,HU113_grade,HU113_points,HU113_termWork,HU113_examWork,HU113_result,HU117_grade,HU117_points,HU117_termWork,HU117_examWork,HU117_result,HU118_grade,HU118_points,HU118_termWork,HU118_examWork,HU118_result,HU121_grade,HU121_points,HU121_termWork,HU121_examWork,HU121_result,HU124_grade,HU124_points,HU124_termWork,HU124_examWork,HU124_result,HU225_grade,HU225_points,HU225_termWork,HU225_examWork,HU225_result,IS211_grade,IS211_points,IS211_termWork,IS211_examWork,IS211_result,IS231_grade,IS231_points,IS231_termWork,IS231_examWork,IS231_result,IT111_grade,IT111_points,IT111_termWork,IT111_examWork,IT111_result,IT212_grade,IT212_points,IT212_termWork,IT212_examWork,IT212_result,IT221_grade,IT221_points,IT221_termWork,IT221_examWork,IT221_result,MA111_grade,MA111_points,MA111_termWork,MA111_examWork,MA111_result,MA112_grade,MA112_points,MA112_termWork,MA112_examWork,MA112_result,MA113_grade,MA113_points,MA113_termWork,MA113_examWork,MA113_result,MA214_grade,MA214_points,MA214_termWork,MA214_examWork,MA214_result,ST121_grade,ST121_points,ST121_termWork,ST121_examWork,ST121_result,ST222_grade,ST222_points,ST222_termWork,ST222_examWork,ST222_result,gpa,min_gpa,program
20456,A,3.7,40.0,47.0,87.0,B+,3.3,39.0,44.0,83.0,A,3.7,37.0,48.0,85.0,A+,4.0,36.0,58.0,94.0,B+,3.3,30.0,50.0,80.0,A,3.7,33.0,52.0,85.0,A+,4.0,39.0,52.0,91.0,C+,2.7,30.0,42.0,72.0,A+,4.0,35.0,60.0,95.0,A+,4.0,38.0,52.0,90.0,A+,4.0,40.0,53.0,93.0,,,,,,B+,3.3,35.0,48.0,83.0,A,3.7,34.0,54.0,88.0,B,3.0,36.0,40.0,76.0,A,3.7,37.0,51.0,88.0,A,3.7,34.0,51.0,85.0,A+,4.0,38.0,54.0,92.0,A+,4.0,35.0,55.0,90.0,C+,2.7,36.0,36.0,72.0,A+,4.0,39.0,58.0,97.0,A,3.7,35.0,51.0,86.0,A+,4.0,38.0,52.0,90.0,B+,3.3,40.0,41.0,81.0,A+,4.0,40.0,56.0,96.0,C+,2.7,33.0,37.0,70.0,3.5,2.56,Computer Science
20457,C+,2.7,39.0,35.0,74.0,D,2.0,18.0,36.0,54.0,D+,2.2,29.0,32.0,61.0,C+,2.7,32.0,39.0,71.0,C+,2.7,32.0,41.0,73.0,B,3.0,30.0,45.0,75.0,A+,4.0,39.0,53.0,92.0,B+,3.3,32.0,48.0,80.0,A+,4.0,33.0,60.0,93.0,A+,4.0,36.0,55.0,91.0,B,3.0,34.0,45.0,79.0,,,,,,B+,3.3,39.0,45.0,84.0,A,3.7,32.0,55.0,87.0,B,3.0,40.0,36.0,76.0,B,3.0,37.0,39.0,76.0,B+,3.3,31.0,50.0,81.0,C+,2.7,32.0,41.0,73.0,D,2.0,29.0,30.0,59.0,C,2.4,33.0,32.0,65.0,B+,3.3,35.0,49.0,84.0,C+,2.7,36.0,38.0,74.0,C+,2.7,37.0,33.0,70.0,C,2.4,40.0,27.0,67.0,B+,3.3,38.0,44.0,82.0,D,2.0,31.0,28.0,59.0,2.87,2.56,Computer Science
20458,C,2.4,32.0,33.0,65.0,D,2.0,27.0,31.0,58.0,D,2.0,28.0,30.0,58.0,C+,2.7,27.0,47.0,74.0,D,2.0,30.0,29.0,59.0,B,3.0,29.0,46.0,75.0,B,3.0,37.0,38.0,75.0,D+,2.2,34.0,26.0,60.0,A+,4.0,38.0,54.0,92.0,B,3.0,31.0,48.0,79.0,B+,3.3,34.0,47.0,81.0,,,,,,D+,2.2,33.0,28.0,61.0,B,3.0,38.0,41.0,79.0,C,2.4,24.0,43.0,67.0,D,2.0,25.0,30.0,55.0,B+,3.3,29.0,51.0,80.0,C+,2.7,32.0,39.0,71.0,C,2.4,33.0,36.0,69.0,D,2.0,33.0,26.0,59.0,C+,2.7,35.0,35.0,70.0,A,3.7,40.0,48.0,88.0,C,2.4,40.0,28.0,68.0,C+,2.7,37.0,33.0,70.0,C+,2.7,36.0,34.0,70.0,D+,2.2,30.0,31.0,61.0,2.76,2.39,Artificial Intelligence
20459,D+,2.2,34.0,26.0,60.0,D+,2.2,28.0,45.0,64.0,D,2.0,30.0,20.0,50.0,D+,2.2,30.0,30.0,60.0,D,2.0,23.0,27.0,50.0,D,2.0,23.0,33.0,56.0,C,2.4,24.0,43.0,67.0,D,2.0,30.0,22.0,52.0,D,2.0,18.0,36.0,54.0,D,2.0,20.0,36.0,56.0,C+,2.7,34.0,36.0,70.0,,,,,,D,2.0,40.0,18.0,58.0,C+,2.7,32.0,38.0,70.0,C,2.4,35.0,31.0,66.0,D,2.0,18.0,32.0,50.0,D,2.0,22.0,28.0,50.0,D+,2.2,19.0,41.0,60.0,D,2.0,23.0,27.0,50.0,D,2.0,29.0,21.0,50.0,D,2.0,22.0,30.0,52.0,C+,2.7,40.0,31.0,71.0,D,2.0,33.0,22.0,55.0,D+,2.2,39.0,24.0,63.0,B,3.0,33.0,46.0,79.0,D,2.0,24.0,29.0,53.0,2.26,1.51,Information Technology
20461,B,3.0,36.0,39.0,75.0,D,2.0,25.0,34.0,59.0,D,2.0,21.0,31.0,52.0,D+,2.2,25.0,36.0,61.0,D+,2.2,32.0,36.0,64.0,D,2.0,18.0,33.0,51.0,B,3.0,27.0,49.0,76.0,D,2.0,31.0,24.0,55.0,D+,2.2,33.0,29.0,62.0,A,3.7,34.0,55.0,89.0,B+,3.3,34.0,48.0,82.0,,,,,,D+,2.2,34.0,43.0,64.0,D+,2.2,38.0,47.0,64.0,D+,2.2,9.0,56.0,64.0,A,3.7,39.0,47.0,86.0,D,2.0,12.0,39.0,51.0,A,3.7,37.0,48.0,85.0,D+,2.2,32.0,30.0,62.0,D+,2.2,23.0,38.0,61.0,B,3.0,31.0,44.0,75.0,D+,2.2,20.0,47.0,64.0,D+,2.2,13.0,48.0,61.0,C+,2.7,26.0,44.0,70.0,A,3.7,31.0,56.0,87.0,D,2.0,20.0,32.0,52.0,2.61,2.39,Artificial Intelligence
20462,B+,3.3,38.0,46.0,84.0,D,2.0,40.0,18.0,58.0,D,2.0,25.0,28.0,53.0,B,3.0,29.0,47.0,76.0,D,2.0,24.0,34.0,58.0,C+,2.7,32.0,42.0,74.0,B,3.0,34.0,43.0,77.0,C+,2.7,36.0,35.0,71.0,A+,4.0,39.0,54.0,93.0,A+,4.0,36.0,56.0,92.0,A,3.7,38.0,48.0,86.0,,,,,,B,3.0,33.0,46.0,79.0,B+,3.3,38.0,45.0,83.0,C+,2.7,30.0,44.0,74.0,C,2.4,30.0,36.0,66.0,B+,3.3,30.0,54.0,84.0,A,3.7,38.0,51.0,89.0,C,2.4,33.0,33.0,66.0,D,2.0,31.0,23.0,54.0,A,3.7,33.0,55.0,88.0,B,3.0,40.0,36.0,76.0,C+,2.7,40.0,31.0,71.0,D+,2.2,33.0,31.0,64.0,B+,3.3,35.0,46.0,81.0,D+,2.2,28.0,36.0,64.0,2.75,2.56,Computer Science
20463,D+,2.2,37.0,23.0,60.0,D,2.0,29.0,24.0,53.0,D,2.0,29.0,24.0,53.0,D+,2.2,28.0,33.0,61.0,D,2.0,20.0,35.0,55.0,D+,2.2,27.0,33.0,60.0,C,2.4,31.0,36.0,67.0,D+,2.2,24.0,39.0,63.0,B,3.0,33.0,44.0,77.0,A,3.7,31.0,56.0,87.0,A,3.7,38.0,51.0,89.0,,,,,,D+,2.2,33.0,30.0,63.0,B+,3.3,34.0,48.0,82.0,C,2.4,30.0,38.0,68.0,C+,2.7,24.0,47.0,71.0,B,3.0,24.0,53.0,77.0,B,3.0,34.0,45.0,79.0,D,2.0,25.0,28.0,53.0,D,2.0,34.0,24.0,58.0,C,2.4,25.0,42.0,67.0,C+,2.7,33.0,38.0,71.0,D+,2.2,33.0,29.0,62.0,B+,3.3,40.0,42.0,82.0,A,3.7,35.0,52.0,87.0,D+,2.2,29.0,34.0,63.0,2.68,2.39,Artificial Intelligence
20465,B+,3.3,40.0,43.0,83.0,B+,3.3,40.0,43.0,83.0,B+,3.3,34.0,48.0,82.0,A+,4.0,37.0,60.0,97.0,B+,3.3,34.0,48.0,82.0,B+,3.3,31.0,51.0,82.0,A+,4.0,40.0,53.0,93.0,B+,3.3,38.0,45.0,83.0,A,3.7,33.0,56.0,89.0,A,3.7,33.0,55.0,88.0,B+,3.3,34.0,48.0,82.0,,,,,,A+,4.0,40.0,50.0,90.0,B+,3.3,36.0,46.0,82.0,B,3.0,35.0,43.0,78.0,B+,3.3,35.0,47.0,82.0,A,3.7,35.0,51.0,86.0,A+,4.0,40.0,57.0,97.0,A,3.7,38.0,50.0,88.0,B,3.0,40.0,37.0,77.0,A+,4.0,39.0,55.0,94.0,A+,4.0,39.0,60.0,99.0,A+,4.0,38.0,58.0,96.0,B+,3.3,40.0,43.0,83.0,A+,4.0,40.0,54.0,94.0,A,3.7,33.0,52.0,85.0,3.63,2.7,Information Systems
20466,A+,4.0,40.0,53.0,93.0,A,3.7,40.0,47.0,87.0,A+,4.0,40.0,59.0,99.0,A+,4.0,39.0,60.0,99.0,B+,3.3,32.0,52.0,84.0,A+,4.0,40.0,57.0,97.0,A+,4.0,40.0,60.0,100.0,A,3.7,34.0,54.0,88.0,A+,4.0,38.0,60.0,98.0,A+,4.0,38.0,58.0,96.0,A+,4.0,40.0,60.0,100.0,,,,,,A+,4.0,38.0,52.0,90.0,A+,4.0,34.0,56.0,90.0,B+,3.3,40.0,43.0,83.0,B+,3.3,33.0,48.0,81.0,B+,3.3,33.0,48.0,81.0,A+,4.0,40.0,59.0,99.0,A+,4.0,38.0,57.0,95.0,A+,4.0,40.0,51.0,91.0,A+,4.0,34.0,58.0,92.0,A+,4.0,40.0,60.0,100.0,A+,4.0,40.0,58.0,98.0,A+,4.0,40.0,60.0,100.0,A+,4.0,35.0,60.0,95.0,A+,4.0,35.0,57.0,92.0,3.89,2.39,Artificial Intelligence
20467,A,3.7,40.0,46.0,86.0,D,2.0,15.0,35.0,50.0,B+,3.3,29.0,54.0,83.0,C+,2.7,29.0,44.0,73.0,C+,2.7,29.0,43.0,72.0,B+,3.3,29.0,51.0,80.0,B+,3.3,37.0,45.0,82.0,C+,2.7,29.0,44.0,73.0,B,3.0,40.0,35.0,75.0,A,3.7,33.0,52.0,85.0,C,2.4,32.0,33.0,65.0,,,,,,C,2.4,31.0,38.0,69.0,B+,3.3,38.0,42.0,80.0,D,2.0,25.0,30.0,55.0,B+,3.3,31.0,53.0,84.0,A+,4.0,36.0,54.0,90.0,A+,4.0,40.0,56.0,96.0,B,3.0,27.0,49.0,76.0,D,2.0,32.0,24.0,56.0,A+,4.0,38.0,52.0,90.0,C+,2.7,40.0,33.0,73.0,D,2.0,39.0,19.0,58.0,B,3.0,38.0,40.0,78.0,A+,4.0,40.0,52.0,92.0,D+,2.2,26.0,36.0,62.0,3.03,2.56,Computer Science
20468,D,2.0,32.0,26.0,58.0,C,2.4,40.0,26.0,66.0,D,2.0,24.0,26.0,50.0,Abs,0.0,14.0,0.0,14.0,D,2.0,30.0,26.0,56.0,D,2.0,19.0,35.0,54.0,D,2.0,27.0,27.0,54.0,C,2.4,30.0,36.0,66.0,A,3.7,36.0,50.0,86.0,B+,3.3,29.0,52.0,81.0,C+,2.7,26.0,45.0,71.0,,,,,,B,3.0,37.0,38.0,75.0,B+,3.3,38.0,45.0,83.0,C,2.4,37.0,29.0,66.0,D+,2.2,27.0,36.0,63.0,Abs,0.0,8.0,0.0,8.0,B,3.0,38.0,41.0,79.0,Abs,0.0,5.0,0.0,5.0,D,2.0,19.0,32.0,51.0,B+,3.3,33.0,50.0,83.0,B+,3.3,40.0,41.0,81.0,D+,2.2,32.0,31.0,63.0,A+,4.0,33.0,57.0,90.0,B+,3.3,40.0,42.0,82.0,D+,2.2,31.0,34.0,64.0,2.03,1.6,Operation Research & Decision Support
20470,A,3.7,39.0,49.0,88.0,A,3.7,40.0,48.0,88.0,C+,2.7,34.0,40.0,74.0,A+,4.0,37.0,56.0,93.0,C+,2.7,30.0,43.0,73.0,A,3.7,35.0,50.0,85.0,C,2.4,29.0,40.0,69.0,B,3.0,33.0,44.0,77.0,A+,4.0,34.0,56.0,90.0,A,3.7,31.0,58.0,89.0,A,3.7,38.0,51.0,89.0,,,,,,C+,2.7,37.0,35.0,72.0,B+,3.3,36.0,44.0,80.0,B,3.0,40.0,38.0,78.0,B,3.0,30.0,47.0,77.0,A,3.7,35.0,51.0,86.0,A+,4.0,37.0,54.0,91.0,D,2.0,23.0,34.0,57.0,D+,2.2,39.0,22.0,61.0,A,3.7,36.0,51.0,87.0,A,3.7,40.0,48.0,88.0,B+,3.3,38.0,45.0,83.0,D+,2.2,36.0,27.0,63.0,A,3.7,37.0,50.0,87.0,C,2.4,29.0,36.0,65.0,3.01,2.56,Computer Science
20471,D+,2.2,29.0,31.0,60.0,D,2.0,18.0,38.0,56.0,D,2.0,22.0,28.0,50.0,D,2.0,30.0,23.0,53.0,D,2.0,22.0,28.0,50.0,D,2.0,20.0,30.0,50.0,D+,2.2,26.0,48.0,64.0,D,2.0,29.0,28.0,57.0,D+,2.2,35.0,26.0,61.0,D+,2.2,25.0,40.0,64.0,C+,2.7,34.0,38.0,72.0,,,,,,D,2.0,29.0,21.0,50.0,B,3.0,34.0,42.0,76.0,C,2.4,35.0,33.0,68.0,D,2.0,20.0,38.0,58.0,C,2.4,21.0,45.0,66.0,B,3.0,27.0,50.0,77.0,D+,2.2,24.0,36.0,60.0,D,2.0,17.0,40.0,57.0,D+,2.2,25.0,37.0,62.0,D,2.0,29.0,26.0,55.0,C,2.4,32.0,37.0,69.0,D,2.0,34.0,24.0,58.0,D,2.0,25.0,34.0,59.0,D,2.0,25.0,28.0,53.0,2.23,1.51,Information Technology
20472,A+,4.0,38.0,54.0,92.0,C,2.4,34.0,34.0,68.0,C,2.4,24.0,45.0,69.0,B+,3.3,29.0,51.0,80.0,C,2.4,20.0,45.0,65.0,A,3.7,31.0,55.0,86.0,A+,4.0,37.0,53.0,90.0,B+,3.3,27.0,57.0,84.0,A,3.7,34.0,51.0,85.0,A+,4.0,37.0,56.0,93.0,A,3.7,36.0,51.0,87.0,,,,,,B+,3.3,37.0,47.0,84.0,B+,3.3,36.0,46.0,82.0,B,3.0,30.0,48.0,78.0,B,3.0,28.0,48.0,76.0,B+,3.3,33.0,51.0,84.0,A,3.7,34.0,54.0,88.0,D+,2.2,29.0,33.0,62.0,C+,2.7,37.0,35.0,72.0,C,2.4,30.0,35.0,65.0,D+,2.2,29.0,31.0,60.0,C+,2.7,37.0,34.0,71.0,B,3.0,36.0,42.0,78.0,A,3.7,31.0,54.0,85.0,B,3.0,35.0,42.0,77.0,2.96,2.7,Information Systems
